"중복관련표기","연번","사용대상","유형별","학교급","학교급-하위","자료명","자료소개(자료 내 문장 활용)","발행기관","자료링크","발행연도","연계자료 여부","연계자료 연번 ","연계자료 대상","자료활용자","자료활용자(주의사항 및 참고사항 표기)","연계자료가 있는경우, 행추가하여 바로 아래 행에 기록바랍니다!
연번란은 비워두면 제가 1-1,1-2 순으로 정리하겠습니다.","","","","","","","","","","","",""
"","12","교사","기타","모든 학교","","학교 위기관리 가이드라인","서울특별시교육청에서 발간한 자료로, 학교 위기사안에 효과적으로 개입하기 위한 위기관리 체계와 구성원의 역할을 제시하고 위기 유형별 대응부터 학교의 조속한 안정화와 회복 지원까지 안내하는 학교 위기관리 매뉴얼입니다.","서울특별시교육청","https://buseo.sen.go.kr/buseo/bu15/user/bbs/BD_selectBbs.do?q_rowPerPage=10&q_currPage=9&q_sortName=&q_sortOrder=&q_searchKeyTy2=1005&q_searchStartDt=&q_searchEndDt=&q_bbsSn=1331&q_bbsDocNo=20250216215631984&q_searchKeyTy=ttl___1002&q_searchVal=&","2025~","없음","","","전문인력","","","","","","","","","","","","","",""
"","13","학생","교육자료","초등","초등 저학년, 초등 고학년","서울시교육청 초등용 생명존중교육 '라이프히어로즈 오리진'","서울특별시교육청에서 개발한 자료로, 초등학생이 생명존중의 의미와 위기 신호를 이해하고 위기 상황에 효과적으로 대처하며 서로에게 도움을 주는 사회적 지지자로 성장하도록 돕는 교육자료입니다.","서울특별시교육청","https://buseo.sen.go.kr/buseo/bu15/user/bbs/BD_selectBbs.do?q_rowPerPage=10&q_currPage=11&q_sortName=&q_sortOrder=&q_searchKeyTy2=1005&q_searchStartDt=&q_searchEndDt=&q_bbsSn=1331&q_bbsDocNo=20240326111214683&q_searchKeyTy=ttl___1002&q_searchVal=&","2020~2024","없음","","","전문인력","프로그램에 대해 충분히 숙지된 일반 교사, 위(Wee) 센터, 위(Wee) 클래스 전문상담(교)사 등이 활용할 수 있습니다.","","","","","","","","","","","","",""
"폭력피해(15번)","14","교사","기타","모든 학교","","위기 유형별 상담 매뉴얼","이 자료는 학교폭력, 대인(또래)관계, 학교 부적응, 자해·자살, 우울, ADHD, 인터넷 과몰입, 성폭력 문제 등 다양한 위기유형에 대한 이해, 위기개입의 필요성 및 목적, 개념, 그리고 유형별 상담개입 및 치료전략을 수록한 상담 매뉴얼입니다.","교육과학기술부/ 한국교육개발원/ 대전광역시교육청","https://www.wee.go.kr/board/view?&menuKey=Nkf0nC3AjF&bbsId=BOARD00015&schType=0&schText=&boardStyle=&ctgryNo=&cntntNm=&pstOtptCnt=0&ntnNm=&pageNum=4&rowCnt=10&no1=32&regNo=0vkWzQncGG","2020~2024","없음","","","전문인력","","","","","","","","","","","","","",""
"","","교사","기타","모든 학교","","위기대응 안내서","이 안내서는 대규모 자연재해나 학교 구성원의 자살 등 학교 위기 상황에서 활용할 수 있도록 위기대응 절차 흐름도, 체크리스트, 애도교육 및 심리안정화 교육, 사안 공지 예시, 위기학생 선별 도구, 주요 Q&A 등 학교응급심리지원의 기본 실무 지침을 수록하고 있습니다.","교육부/ 한국교육환경보호원/ 학생정신건강증진센터","https://www.smhrc.kr/dataCenter/dataView?pageNo=1&dataId=461&searchKeyword=%EC%9C%84%EA%B8%B0%EB%8C%80%EC%9D%91","2020~2024","있음","","교사","누구나","","","","","","","","","","","","","",""
"","","교사","기타","모든 학교","","학교를 위한 응급심리지원, 실행자입문서(2015)","학교 관계자들을 위한 학교응급심리지원의 이해 및 실천 지침 안내","학생정신건강지원센터","https://www.smhrc.kr/dataCenter/dataView?pageNo=1&dataId=112&searchKeyword=%EC%9D%91%EA%B8%89%EC%8B%AC%EB%A6%AC%EC%A7%80%EC%9B%90","2015~2019","","","교사","누구나","","","","","","","","","","","","","",""
"충청남도교육청 개발자료(4번)","16","누구나","동영상","모든 학교","","2023 생명존중 자살예방 홍보영상","2023년 충청남도교육청이 제작한 생명존중 자살예방 홍보 영상 입니다. 학생 정신건강지원 관련한 캠페인, 교육활동에 활용할 수 있습니다.","충청남도교육청","http://www.cne.go.kr/boardCnts/view.do?boardID=877&boardSeq=2288634&lev=0&searchType=null&statusYN=C&page=4&s=cne&m=082203&opType=N","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","17","교사","동영상","모든 학교","","[위닥터] 청소년기에 시작되는 자해! 어떻게 다가가야 할까?","위닥터에서 제작한 영상으로, 청소년 자해의 원인과 심리, 자살과의 차이, 그리고 교사와 보호자가 학생을 어떻게 이해하고 상담해야 하는지 핵심 내용을 담았습니다.","Wee Doctor
(서울Weepl 탑재)","https://www.youtube.com/embed/FzvmBQ329qA","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","18","교사","동영상","모든 학교","","[위닥터] 청소년 자해행동에 대한 올바른 이해!","위닥터에서 제작한 영상으로, 청소년 자해 행동의 원인과 자살 시도와의 차이, 보호자와 교사가 주의해야 할 대응 방법을 안내합니다.","Wee Doctor
(서울Weepl 탑재)","https://www.youtube.com/watch?v=pJ5fLGScQAk&t=821s","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","19","보호자","동영상","모든 학교","","[위닥터] 반복적인 자해행동을 보이는 자녀와 대화하기","위닥터에서 제작한 영상으로, 반복적인 자해 행동을 보이는 자녀와 부모가 어떻게 대화하고 소통해야 하는지 실제적인 방법을 안내합니다. 자해 행동의 원인을 이해하는 것부터 공감 중심의 대화법, 피해야 할 표현, 긍정적인 관계 회복과 전문가의 도움까지 핵심 내용을 담았습니다.","Wee Doctor
(서울Weepl 탑재)","https://www.youtube.com/watch?v=Qld_hXfv0AU","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","20","누구나","카드뉴스 및 뉴스레터","모든 학교","","자해러가 말했다 '어떻게든 살기위해 자해했어요'","한국청소년상담복지개발원에서 개발한 카드뉴스 자료로, 자해의 원인과 올바른 개입 방법, 그리고 주변에서 자해로 어려움을 겪는 사람을 이해하고 안전하게 도움을 줄 수 있는 방법을 쉽고 알기 쉽게 안내합니다.","한국청소년상담복지개발원
(서울Weepl 탑재)","https://www.kyci.or.kr/userSite/cardnews/cardnews28.asp","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","21","누구나","동영상","모든 학교","","[우리 지역 전문의 : 자해] 청소년 자해, 어떻게 도와주지?_우리 아이 마음 해결사, 우아해!","대한소아청소년정신의학회에서 제작한 동영상 자료로, 비자살성 자해의 개념과 자해를 의심할 수 있는 신호, 자해 행동을 보이는 청소년의 심리적 원인을 설명합니다. 또한 자해하는 자녀를 대하는 부모의 올바른 태도와 대화 방법, 병원 치료 과정, 대체 행동 및 변증법적 행동치료 등 실질적인 도움 방법을 안내합니다.","대한소아청소년정신의학회
(서울Weepl 탑재)","https://www.youtube.com/watch?v=zDO_fN6ZEIQ","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"사후안정화(10번)","22","누구나","포스터","모든 학교","","마음을 안정시키는 안정화기법","국가트라우마센터에서 제작한 자료로, 트라우마 이후 나타날 수 있는 우울과 불안 등 다양한 심리적 불편감에 대처하는 방법을 안내합니다. 언제 어디서든 간단하게 따라 하며 몸과 마음을 편안하게 안정시킬 수 있는 안정화 기법을 소개합니다.","국가트라우마센터
(서울Weepl 탑재)","https://www.mentalhealth.go.kr/portal/bbs/bbsDetail.do?bbsId=BBSINIT_6&nttId=518","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","23","학생","심리검사","중등(중,고)","중학교, 고등학교","청소년 자해선별척도","청소년 자해행동 평가 질문지: 자해선별척도(SHSI, Self-Harm Screening Inventory)입니다.
","국립정신건강센터","https://www.ncmh.go.kr/ncmh/board/commonView.do?no=4666&fno=84&depart=&menu_cd=04_04_00_02&bn=newsView&search_item=1&search_content=%EC%9E%90%ED%95%B4&pageIndex=1#","2020~2024","없음","","","","결과 확인 후 정서지원 필요 시 전문상담인력과 협의 바랍니다.","","","","","","","","","","","","",""
"","24","누구나","교육자료","중등(중,고)","중학교, 고등학교","마음챙김에 기반한 자살예방 인지행동치료 프로그램 ""하루"""," 마음챙김에 기반한 자살예방 인지행동치료 프로그램 매뉴얼입니다(오디오자료 포함, 노년, 중장년, 청소년용으로 구성)
지역사회 기반 자살 고위험군 참가자들을 대상으로 자살 충동을 감소시키고 심리적 회복탄력성을 높임으로써 자살 취약성을 낮추는 것을 목표로 하고 있습니다.","국립정신건강센터","https://www.ncmh.go.kr/ncmh/board/commonView.do?no=5010&fno=84&depart=&menu_cd=04_04_00_02&bn=newsView&search_item=1&search_content=%EC%9E%90%EC%82%B4&pageIndex=1","2025~","없음","","","전문인력","마음챙김과 관련한 배경지식이 필요합니다.","","","","","","","","","","","","",""
"","25","교사","기타","모든 학교","","학교 자해대응 교사용 안내서","학교 현장에서 자해를 최초로 발견한 교직원이 즉각적으로 대처할 수 있도록 돕는 안내서입니다. 자해에 대한 올바른 이해부터 교사의 초기 대응 전략, 최초 발견자 및 학교의 체계적인 대응 절차, 그리고 지역사회 도움 기관에 대한 정보를 안내합니다.","교육부/ 학생정신건강지원센터
(충청남도 교육청 누리집 탑재)","학생생활자료실","2015~2019","없음","","","누구나","","","","","","","","","","","","","",""
"","","학생","동영상","모든 학교","","마음건강의 도움이 필요할 때","누구나 한번쯤 몸이 아팠던 것처럼 마음속의 고민으로 불편함을 느낄 떄는 혼자서 힘들어하지 말고 도움을 요청해야 한다는 카드뉴스를 동영상으로 만든 자료입니다.","학생마음건강중앙지원단","https://www.smhrc.kr/dataCenter/dataView?pageNo=7&dataId=460&searchKeyword=&categoryArr=%EC%A0%95%EC%8B%A0%EA%B1%B4%EA%B0%95&categoryArr=%ED%95%99%EA%B5%90%EC%9C%84%EA%B8%B0%EA%B0%9C%EC%9E%85","2020~2024","있음","26-2, 26-3
26-4, 26-5
26-6","학생(연계자료), 교사, 보호자","누구나","","","","","","","","","","","","","",""
"","","학생","카드뉴스 및 뉴스레터","중등(중,고)","","마음건강의 도움이 필요할 때","누구나 한번쯤 몸이 아팠던 것처럼 마음속의 고민으로 불편함을 느낄 떄는 혼자서 힘들어하지 말고 도움을 요청해야 한다는 내용의 중고등학생 대상 카드뉴스 자료입니다.","학생마음건강중앙지원단","https://www.smhrc.kr/dataCenter/dataView?pageNo=7&dataId=457&searchKeyword=&categoryArr=%EC%A0%95%EC%8B%A0%EA%B1%B4%EA%B0%95&categoryArr=%ED%95%99%EA%B5%90%EC%9C%84%EA%B8%B0%EA%B0%9C%EC%9E%85","2020~2024","있음","26-1, 26-3
26-4, 26-5
26-6","보호자, 교사, 학생(연계자료)","누구나","","","","","","","","","","","","","",""
"","","학생","카드뉴스 및 뉴스레터","초등","초등 저학년","마음건강의 도움이 필요할 때","누구나 한번쯤 몸이 아팠던 것처럼 마음속의 고민으로 불편함을 느낄 떄는 혼자서 힘들어하지 말고 도움을 요청해야 한다는 내용의 초등학교저학년 대상 카드뉴스 자료입니다.","학생마음건강중앙지원단","https://www.smhrc.kr/dataCenter/dataView?pageNo=7&dataId=455&searchKeyword=&categoryArr=%EC%A0%95%EC%8B%A0%EA%B1%B4%EA%B0%95&categoryArr=%ED%95%99%EA%B5%90%EC%9C%84%EA%B8%B0%EA%B0%9C%EC%9E%85","2020~2024","있음","26-1, 26-2
26-4, 26-5
26-6","보호자, 교사, 학생(연계자료)","누구나","","","","","","","","","","","","","",""
"","","학생","카드뉴스 및 뉴스레터","초등","초등 고학년","마음건강의 도움이 필요할 떄","누구나 한번쯤 몸이 아팠던 것처럼 마음속의 고민으로 불편함을 느낄 떄는 혼자서 힘들어하지 말고 도움을 요청해야 한다는 내용의 초등학교 고학년 대상 카드뉴스 자료입니다.","학생마음건강중앙지원단","https://www.smhrc.kr/dataCenter/dataView?pageNo=7&dataId=456&searchKeyword=&categoryArr=%EC%A0%95%EC%8B%A0%EA%B1%B4%EA%B0%95&categoryArr=%ED%95%99%EA%B5%90%EC%9C%84%EA%B8%B0%EA%B0%9C%EC%9E%85","2020~2024","있음","26-1, 26-2
26-3, 26-5
26-6","보호자, 교사, 학생(연계자료)","누구나","","","","","","","","","","","","","",""
"","","보호자","카드뉴스 및 뉴스레터","모든 학교","","마음건강의 도움이 필요할 떄","누구나 한번쯤 몸이 아팠던 것처럼 마음속의 고민으로 불편함을 느낄 떄는 혼자서 힘들어하지 말고 도움을 요청해야 한다는 내용의 보호자 대상 카드뉴스 자료입니다.","학생마음건강중앙지원단","https://www.smhrc.kr/dataCenter/dataView?pageNo=7&dataId=459&searchKeyword=&categoryArr=%EC%A0%95%EC%8B%A0%EA%B1%B4%EA%B0%95&categoryArr=%ED%95%99%EA%B5%90%EC%9C%84%EA%B8%B0%EA%B0%9C%EC%9E%85","2020~2024","있음","26-1, 26-2
26-3, 26-4
26-6","보호자, 교사, 학생(연계자료)","누구나","","","","","","","","","","","","","",""
"","","교사","카드뉴스 및 뉴스레터","모든 학교","","마음건강의 도움이 필요할 떄","누구나 한번쯤 몸이 아팠던 것처럼 마음속의 고민으로 불편함을 느낄 떄는 혼자서 힘들어하지 말고 도움을 요청해야 한다는 내용의 교사대상 카드뉴스 자료입니다.","학생마음건강중앙지원단","https://www.smhrc.kr/dataCenter/dataView?pageNo=7&dataId=458&searchKeyword=&categoryArr=%EC%A0%95%EC%8B%A0%EA%B1%B4%EA%B0%95&categoryArr=%ED%95%99%EA%B5%90%EC%9C%84%EA%B8%B0%EA%B0%9C%EC%9E%85","2020~2024","있음","26-1, 26-2
26-3, 26-4
26-5","보호자, 교사, 학생(연계자료)","누구나","","","","","","","","","","","","","",""
"","27","교사","교육자료","중등(중,고)","중학교, 고등학교, 초등 고학년","청소년 자해행동 예방과 개입 프로그램 ASIST","한국 청소년들의 자해행동 유형을 분석한 결과에 기반하여 개발된 집단 프로그램입니다. 
자해행동을 보이는 청소년들이 참여하여 4~6회기에 걸쳐 자해 관련 교육, 
인지, 정서, 대인관계와 스트레스 관리의 전반을 다룰 수 있도록 구성되어 있습니다.
","국립정신건강센터, 서울대학교병원","https://www.ncmh.go.kr/ncmh/board/commonView.do?no=5019&fno=84&depart=&menu_cd=04_04_00_01&bn=newsView&search_item=1&search_content=&pageIndex=2#","2020~2024","있음","","","","","","","","","","","","","","","","",""
"","28","교사","교육자료","모든 학교","","비자살적 자해 청소년 상담 종사자 교육 강의안","보건복지부 국립정신건강센터에서 제작한 비자살적 자해 청소년 상담 종사자 교육 강의안입니다.","학생건강정보센터","https://www.schoolhealth.kr/web/search/selectTotalSearchList.do?kwdLogYn=N&bbsTyCode=&bbsId=&lstnum1=4519&pageIndex=10&sortOrder=&pageUnit=10&searchWrd=&dataGbn1=0106","2020~2024","없음","","","전문인력","","","","","","","","","","","","","",""
"","29","학생","교육자료","중등(중,고)","","STOP자해예방 매뉴얼& 워크북","        
보건복지부 국립정신건강센터에서 제작한 STOP 자해예방 매뉴얼& 워크북입니다.
개별프로그램10회기, 가족프로그램 6회기로 구성되어 있습니다.","학생건강정보센터","https://www.schoolhealth.kr/web/search/selectTotalSearchList.do?kwdLogYn=N&bbsTyCode=&bbsId=&lstnum1=4510&pageIndex=11&sortOrder=&pageUnit=10&searchWrd=&dataGbn1=0106","2020~2024","없음","","","전문인력","","","","","","","","","","","","","",""
"","30","교사","동영상","모든 학교","초등 저학년, 초등 고학년, 중학교, 고등학교","생명존중 및 자살예방 교육영상","교육영상은 학교 현장에서 학생들을 대상으로 생명존중 및 자살예방교육을 할 때, 
활용할 수 있도록 각 초‧중‧고별로 교육영상을 개발하였습니다. ","교육부
학생정신건강지원센터","학생건강정보센터","2015~2019","없음","","","누구나","","","","","","","","","","","","","",""
"","31","학생","교육자료","중등(중,고)","중학교, 고등학교","자해학생을 돕기위한 안내서","안내서는 내가 자해를 하거나, 내 친구가 자해한 사실을 알았을 때 어떻게 도움을 받고, 도움을 줄 수 있는지에 대한 방법을 소개합니다. ","대구시교육청","학생건강정보센터","2015~2019","없음","","","","","","","","","","","","","","","","",""
"","32","보호자","교육자료","중등(중,고)","중학교, 고등학교","자해학생을 돕기위한 안내서","청소년 자해에 관한 학부모용 도움 안내서입니다.","대구시교육청","학생건강정보센터","2015~2019","없음","","","","","","","","","","","","","","","","",""
"","33","교사","교육자료","중등(중,고)","중학교, 고등학교","자해학생을 돕기위한 안내서","자해 청소년을 돕는 교사용 도움 안내서입니다.","대구시교육청","학생건강정보센터","2015~2019","없음","","","","","","","","","","","","","","","","",""
"","34","교사","동영상","초등","초등 저학년, 초등 고학년","연두와 초록이의 마음이어 달리기 ","한국생명존중희망재단에서 제작한 [연두와 초록이의 마음 이어달리기] 생명존중 
인식개선 동화책 애니메이션 입니다.","한국생명존중희망재단","학생건강정보센터","2020~2024","없음","","","","","","","","","","","","","","","","",""
"","35","교사","카드뉴스 및 뉴스레터","모든 학교","","2020년도 학생 정신건강증진 및 자살예방 뉴스레터 8호","청소년의 자살·자해 위험을 다루며, 가정에서 자녀의 위기 징후를 알아차리고 대처하도록 돕는 보호자용 카드뉴스 및 가정통신문과, 학교 현장에서 학생의 징후를 발견하고 직접 대화 및 연계하는 방법을 안내하는 교사용 카드뉴스 입니다.","학생정신건강지원센터
(충청남도교육청 누리집 탑재)","학생생활자료실","2020~2024","없음","","","","","","","","","","","","","","","","",""
"","36","교사","기타","","","","","","","","","","","","","","","","","","","","","","","","",""
"","37","교사","카드뉴스 및 뉴스레터","모든 학교","","2019학년 학생 자살예방 뉴스레터 6호","가정에서 자녀의 위기 징후를 알아차리고 공감하며 대처하는 보호자용 가정통신문과, 학교 현장에서 무기력한 학생의 원인을 파악하고 올바르게 소통하며 지도하는 방법을 안내하는 교사용 뉴스레터입니다.","교육부/ 대한청소년정신의학회
(충청남도교육청 누리집 탑재)","학생생활자료실","2015~2019","없음","","","","","","","","","","","","","","","","",""
"","38","교사","기타","모든 학교","","위기 청소년 부모개입 프로그램 개발","위기청소년 자녀를 둔 부모의 변화와 조력을 위해 상담자의 역량을 강하시키고 실무에 즉시 적용할 수 있도록, 서론의 개발 목적과 목차·부록의 4단계 상담 과정(개입준비-초기-중기-종결) 및 주요 위기유형별 개입 매뉴얼을 하나로 종합하여 개발한 반구조화된 부모개입 프로그램 보고서","한국청소년상담복지개발원","https://www.kyci.or.kr/fileup/lib_pdf/3.%20%EC%9C%84%EA%B8%B0%EC%B2%AD%EC%86%8C%EB%85%84%20%EB%B6%80%EB%AA%A8%EA%B0%9C%EC%9E%85%20%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8%20%EA%B0%9C%EB%B0%9C.pdf","2020~2024","없음","","","전문인력","","","","","","","","","","","","","",""
"","39","교사","기타","모든 학교","","자살시도 위기청소년 상담개입 메뉴얼 개발","긴급·초기·중기·후기 단계별 개입, 부모교육, 상담자 자기점검 등의 내용과 부록을 포함한 구조화된 자살시도 위기청소년 상담개입 매뉴얼을 개발한 내용의 자료입니다. 80페이지의 메뉴얼 세부 내용을 활용바랍니다.","한국청소년상담복지개발원","https://www.kyci.or.kr/fileup/lib_pdf/%EC%9E%90%EC%82%B4%EC%8B%9C%EB%8F%84%20%EC%9C%84%EA%B8%B0%EC%B2%AD%EC%86%8C%EB%85%84%20%EC%83%81%EB%8B%B4%EA%B0%9C%EC%9E%85%20%EB%A7%A4%EB%89%B4%EC%96%BC%20%EA%B0%9C%EB%B0%9C.pdf","2020~2024","없음","","","전문인력","","","","","","","","","","","","","",""
"","36","교사","기타","중등(중,고)","중학교, 고등학교","학교폭력 외상 피해 청소년 상담개입 매뉴얼 개발","학교폭력 피해 청소년의 외상 회복을 위하여 선행연구와 현장 전문가 요구분석을 바탕으로 단계별 상담 기법, 보호자 교육, 회기별 활동지 및 평가 척도를 종합하여 개발한 '학교폭력 외상 피해 청소년 상담개입 매뉴얼' 보고서입니다. 65페이지 매뉴얼 세부 내용을 활용바랍니다.","한국청소년상담복지개발원","https://www.kyci.or.kr/fileup/lib_pdf/2022-232.pdf","2020~2024","없음","","","전문인력","","","","","","","","","","","","","",""
"","41","교사","동영상","모든 학교","","학교 위기개입 개요(1)","이 자료는 학교 위기개입의 개념과 목적을 설명하고, 왜 학교에서 위기개입의 필요성을 알려주는 동영상 자료입니다.","학생정신건강지원센터
(충청남도교육청 누리집 탑재)","학생생활자료실","2015~2019","없음","","","누구나","","","","","","","","","","","","","",""
"","42","교사","동영상","모든 학교","","학교위기개입 절차(2)","이 자료는 학교 위기 상황 발생 시 위기개입 팀 구성과 절차, 사실 공지 방법을 안내하고, 학부모 모임 및 교사 심리 지원까지의 체계적인 흐름을 알려주는 동영상 자료입니다.","학생정신건강지원센터
(충청남도교육청 누리집 탑재)","학생생활자료실","2015~2019","없음","","","누구나","","","","","","","","","","","","","",""
"","43","교사","동영상","모든 학교","","학생대상 위기개입 주요 내용(3)","이 자료는 사건 발생 시 학생 대상 공지 안내, 학생들의 애도 반응, 그리고 학생 대상 위기개입 방안을 소개하는 동영상 자료입니다.","학생정신건강지원센터
(충청남도교육청 누리집 탑재)","학생생활자료실","2015~2019","없음","","","누구나","","","","","","","","","","","","","",""
"","44","교사","동영상","모든 학교","","학교 위기개입 지원요청(4)","이 자료는 학교 위기 상황에 체계적으로 대응하기 위한 영상으로, 전문기관 지원의 필요성과 위기 개입 시 단계별 지원 방법에 대해 설명하는 동영상자료입니다.","학생정신건강지원센터
(충청남도교육청 누리집 탑재)","학생생활자료실","2015~2019","없음","","","누구나","","","","","","","","","","","","","",""
