"중복관련표기","연번","사용대상","유형별","학교급","학교급-하위","자료명","자료소개(자료 내 문장 활용)","발행기관","자료링크","발행연도","연계자료 여부","연계자료 연번 ","연계자료 대상","자료활용자","자료활용자(주의사항 및 참고사항 표기)","연계자료가 있는경우, 행추가하여 바로 아래 행에 기록바랍니다!
연번란은 비워두면 제가 1-1,1-2 순으로 정리하겠습니다.","","","","","","","","","","","",""
"","45","교사","기타","중등(중,고)","중학교, 고등학교, 초등 고학년","고위기 청소년 정신건강 상담개입
매뉴얼 개발: 불안·우울","인지행동치료, 변증법적 행동치료, 동기강화상담 이론과 화상상담 기반의 블랜디드 상담 기법을 결합하여 개인상담 중심의 모듈식 개입 매뉴얼을 개발하고 전문가 평가를 통해 그 효과성과 현장 적용성을 검증한 연구입니다. 84페이지 매뉴얼 세부 내용을 활용바랍니다.","한국청소년상담복지개발원","https://www.kyci.or.kr/fileup/lib_pdf/2020-107.pdf","2020~2024","없음","","","전문인력","","","","","","","","","","","","","",""
"충청남도교육청 개발자료(3번)","46","교사","교육자료, 활동지","모든 학교",""," 오늘 마주봄(ppt, 활동지)","생명존중 의식을 높이고 위기 대응 능력을 기르기 위해 제작된 생명존중 교육 프로그램 매뉴얼입니다. 총 6회기로 구성되어 있으며, 3~4회기에는 자살·자해 위기 신호 이해와 도움 요청 방법이, 6회기에는 상실감 이해 및 애도 과정을 다루는 사후 안정화 내용이 포함되어 있습니다. 일반군부터 고위기군까지 적용 가능하며 다양한 형태로 활용할 수 있습니다.","충청남도교육청 / 호시담","http://www.cne.go.kr/boardCnts/view.do?boardID=877&boardSeq=2292732&lev=0&searchType=null&statusYN=W&page=3&s=cne&m=082203&opType=N","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"","","교사","교육자료","모든 학교","","오늘 마주봄(안내서)","오늘 마주봄 안내서입니다.","충청남도교육청 / 호시담","학생정신건강증진센터","","","","","","","","","","","","","","","","","","",""
"충청남도교육청 개발자료(5번)","47","교사","기타, 심리검사","모든 학교","","학생 위기관리 안내서","해당 안내서는 학생의 자해·자살 위험 사안 발생 시 학교의 기능을 유지하고, 신속하게 대응·지원할 수 있도록 처리 절차, 위기 관리 방법, 각종 서식 등을 정리한 지침서입니다.","충청남도교육청","http://www.cne.go.kr/boardCnts/view.do?boardID=877&boardSeq=2201074&lev=0&searchType=null&statusYN=W&page=5&s=cne&m=082203&opType=N","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"충청남도교육청 개발자료(6번)","48","교사","교육자료","초등","","학생상담길라잡이-불안,자해(초등)","교실 내 초등학생의 자해·자살 행동 특징과 지원 방법을 다룬 PPT 자료입니다. 슬라이드 19쪽부터 활용 바라며, 학생의 위험 신호 포착과 교실 내 지도, 보호자와의 대화 방법 및 관련 기관 안내가 포함되어 있으며, 슬라이드 내 영상과 동영상 강의는 충청남도교육청 유튜브에서 시청할 수 있습니다.","충청남도교육청","학생생활자료실","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"","","교사","동영상","초등","","학생상담길라잡이-자해(초등)","","충청남도교육청","[학생상담 길라잡이] 6.자해 (초등, 교사용) - YouTube","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"충청남도교육청 개발자료(7번)","49","교사","교육자료","중등(중,고)","","학생상담길라잡이-불안,자해(중등)","교실 내 중학생의 자해·자살 행동 특징과 지원 방법을 다룬 PPT 자료입니다. 슬라이드 22쪽부터 활용 바라며, 학생의 위험 신호 포착과 교실 내 지도, 보호자와의 대화 방법 및 관련 기관 안내가 포함되어 있으며, 슬라이드 내 영상과 동영상 강의는 충청남도교육청 유튜브에서 시청할 수 있습니다.","충청남도교육청","학생생활자료실","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"","","교사","동영상","중등(중,고)","","학생상담길라잡이-자해(중등)","","충청남도교육청","[학생상담 길라잡이] 6. 자해 (중등, 교사용) - YouTube","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"충청남도교육청 개발자료(8번)","50","보호자","교육자료","초등","","학생상담길라잡이-불안,자해(초등)","초등학생 자녀의 자해·자살 행동 특징과 가정 내 대처법을 다룬 PPT 자료입니다. 슬라이드 19쪽부터 활용 바라며, 자녀의 위험 신호 관찰, 가정 내 대처 및 일상 소통, 교사와의 협력 방법, 관련 기관 안내가 포함되어 있으며, 슬라이드 내 영상과 동영상 강의는 충청남도교육청 유튜브에서 시청할 수 있습니다.","충청남도교육청","학생생활자료실","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"","","보호자","동영상","초등","","학생상담길라잡이-자해(초등)","","충청남도교육청","[학생상담 길라잡이] 6. 자해 (초등, 학부모용) - YouTube","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"충청남도교육청 개발자료(9번)","51","보호자","교육자료","중등(중,고)","","학생상담길라잡이-불안,자해(중등)","중학생 자녀의 자해·자살 행동 특징과 가정 내 대처법을 다룬 PPT 자료입니다. 슬라이드 29쪽부터 활용 바라며, 자녀의 위험 신호 관찰, 가정 내 대처 및 일상 소통, 교사와의 협력 방법, 관련 기관 안내가 포함되어 있으며, 슬라이드 내 영상과 동영상 강의는 충청남도교육청 유튜브에서 시청할 수 있습니다.","충청남도교육청","학생생활자료실","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"","","보호자","동영상","중등(중,고)","","학생상담길라잡이-자해(중등)","","충청남도교육청","[학생상담 길라잡이] 6. 자해 (중등, 학부모용) - YouTube","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"충청남도교육청 개발자료(10번)","52","교사","기타","모든 학교","","생명존중 및 자살예방 교직원 안내 자료(리플릿)","충청남도교육청에서 제작한 자료로 교직원이 학생의 자살 위험 신호를 조기에 포착하고 위기 발생 시 체계적으로 대응할 수 있도록 돕는 안내자료입니다. 징후 발견 대처법, 사안 발생 시 보고 절차와 대상별(친구·교직원·학부모·언론) 대응 방법, 그리고 학교·가정·Wee센터의 역할 분담과 위기 상담전화 번호를 소개합니다.","충청남도교육청","학생생활자료실","2015~2019","","","","누구나","","","","","","","","","","","","","",""
"","53","교사","기타","중등(중,고)","고등학교","고위기 청소년 정신건강상담개입 매뉴얼 : 자살·자해편","문헌 고찰과 현장 전문가 및 경험 청소년의 심층면접 분석을 바탕으로 초기·중기·후기 단계별 상담 절차, 부모 상담, 상담자 소진 예방, 그리고 검사 도구와 지침 등 부록 성격의 가이드라인을 포함한 맞춤형 상담개입 매뉴얼 개발 연구보고서 입니다. 72~74페이지의 매뉴얼 세부내용을 활용 바랍니다.","한국청소년상담복지개발원","https://www.kyci.or.kr/fileup/lib_pdf/2018-119.pdf","2015~2019","","","","전문인력","","","","","","","","","","","","","",""
"","54","학생","동영상","초등","초등 저학년, 초등 고학년","자살예방 애니메이션(초등)","마음의 어려움을 겪을 때 이용할 수 있는 모바일 상담 서비스, 학교 내 위클래스, 전문 상담 및 신고전화 정보를 안내하는 동영상입니다.","경기도교육청","(1) 자살예방 애니메이션_초등편ㅣ 경기도교육청TV - YouTube","2020~2024","","","","","","","","","","","","","","","","","",""
"","55","학생","동영상","중등(중,고)","중학교, 고등학교","자살예방 애니메이션(중등)","마음의 어려움을 겪을 때 이용할 수 있는 모바일 상담 서비스, 학교 내 위클래스, 전문 상담 및 신고전화 정보를 안내하는 동영상입니다.","경기도교육청","(1) 자살예방 애니메이션_중등편ㅣ 경기도교육청TV - YouTube","2020~2024","","","","","","","","","","","","","","","","","",""
"","56","교사","기타","초등","초등","초등학생 자살예방프로그램 개발","초등학생 5~6학년을 대상으로 한 학급 단위 자살예방 프로그램(40분, 총 2회기)을 개발연구 보고서입니다. 64페이지 프로그램 주요내용을 활용 바랍니다.","한국청소년상담복지개발원","https://www.kyci.or.kr/fileup/lib_pdf/2017-139.pdf","2015~2019","","","","전문인력","","","","","","","","","","","","","",""
"","57","누구나","기타, 카드뉴스 및 뉴스레터","중등(중,고)","","가정폭력'으로부터 '청소년' 지키기!","가정폭력 대처 방법 등 관련 전반적인 정보를 담은 카드뉴스입니다. ","한국청소년상담복지개발원","https://www.kyci.or.kr/userSite/cardnews/cardnews06.asp","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"","58","누구나","기타, 카드뉴스 및 뉴스레터","중등(중,고)","","자살·자해위험 친구를 돕는 방법","자살자해 위험 친구를 돕는 방법에 대한 정보를 담은 카드뉴스입니다.","한국청소년상담복지개발원","https://www.1388.go.kr/not/YTOSP_SC_NNE_02?id=29213&bbs=10243&page=2","2020~2024","","","","누구나","","","","","","","","","","","","","",""
"","59","누구나","카드뉴스 및 뉴스레터","중등(중,고)","","상처가 힘이 될 수 있다면!","자살 위기를 겪고 있는 학생들을 위한 정보를 담은 카드뉴스입니다.","청소년사이버상담센터(한국청소년상담복지개발원)","https://www.1388.go.kr/not/YTOSP_SC_NME_02?id=28611&bbs=10248&page=12","","없음","","","누구나","","","","","","","","","","","","","",""
"","60","누구나","카드뉴스 및 뉴스레터","중등(중,고)","","자해_나를 아프게 해서라도 마음의 고통에서 벗어나고 싶어요'","자해 대처 방법을 담은 담은 카드뉴스입니다.","청소년사이버상담센터(한국청소년상담복지개발원)","https://www.1388.go.kr/not/YTOSP_SC_NME_02?id=28607&bbs=10248&page=12","","없음","","","누구나","","","","","","","","","","","","","",""
"","61","교사","교육자료","초등","모든 학교","재난으로 힘들어하는 아동의 
몸과 마음회복을 위한 GUIDE BOOK","재난으로 어려움을 겪은 아동을 대상으로 한 심리지원 개입 시, 재난정신건강 전문가의 현장 활용을 위해 제작된 전문 지침서입니다. 초기 개입, 심리 안정화 기법 및 사례 연계 전략 등이 포함되어 있습니다(p19-20: 힌국어판 역학연구센터 우울척도 아동용 CES-DC/ p21: 자살행동척도 SBQ-R)","국립정신겅강센터 국가트라우마센터","자료실 > 발간물,지침 > 사업지침 및 서식 게시물 보기 | 국가트라우마센터","2025~","없음","","","전문인력","""공공누리4유형(출처표시, 상업적 이용금지, 변경금지)"" 
조건에 따라 이용 가능합니다.","","","","","","","","","","","","",""
"","","교사","교육자료, 동영상","모든 학교","모든 학교","교사용 자살예방 게이트키퍼 교육자료 '괜찮니 톡톡톡' 1차시 '알아차리기'","교사연수(게이트키퍼교육, 생명존중 및 자살예방교육)에 활용하시기 바랍니다.
활용안내서도 함께 안내되어 있습니다.","학생정신겅강지원센터","학생마음건강중앙지원단","2015~2019","있음","61-1,61-2,61-3","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","교육자료, 동영상","초등","모든 학교","교사용 자살예방 게이트키퍼 교육자료 '괜찮니 톡톡톡' 2차시 '알아보기'","교사연수(게이트키퍼교육, 생명존중 및 자살예방교육)에 활용하시기 바랍니다.
활용안내서도 함께 안내되어 있습니다.","학생정신겅강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","교육자료, 동영상","초등","모든 학교","교사용 자살예방 게이트키퍼 교육자료 '괜찮니 톡톡톡' 3차시 '알리기'","교사연수(게이트키퍼교육, 생명존중 및 자살예방교육)에 활용하시기 바랍니다.
활용안내서도 함께 안내되어 있습니다.","학생정신겅강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","64","교사","교육자료","중등(중,고)","중등(중,고)","교사용 뉴스레터 6월 자살징후 발견 발생 이후 아이들 돕기(중학생)","학생들의 정신건강과 관련한 지식을 월별 주제로 선정하여, 손쉽게 읽을 수 있도록 제작한 뉴스레터 입니다.
(자실 징후 발견법과 자살 징후 보이는 학생 돕는방법 사안 발생 이후 아이들 돕는 방법과 학무모에게 알리는
 방법이 포함되어 있습니다. )","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","없음","","교사","누구나","","","","","","","","","","","","","",""
"","65","교사","카드뉴스 및 뉴스레터","초등","초등","교사용 뉴스레터 6월 자살징후 발견 발생 이후 아이들 돕기(초등학생)","학생들의 정신건강과 관련한 지식을 월별 주제로 선정하여, 손쉽게 읽을 수 있도록 제작한 뉴스레터 입니다.
(자실 징후 발견법과 자살 징후 보이는 학생 돕는방법 사안 발생 이후 아이들 돕는 방법과 학무모에게 알리는
 방법이 포함되어 있습니다. )","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","없음","","교사","누구나","","","","","","","","","","","","","",""
"","66","교사","교육자료, 카드뉴스 및 뉴스레터","모든 학교","모든 학교","[특별판]교사용 뉴스레터 유명인의 자살 어떻게 대응하면 좋을까요?  ","학생들의 정신건강과 관련한 지식을 월별 주제로 선정하여, 손쉽게 읽을 수 있도록 제작한 뉴스레터 입니다.
(자실 징후체크리스트와 자살생각이 있는 학생과 대화할때 주의할점을 포함하고 있습니다.)","학생정신건강지원센터","
https://www.smhrc.kr/dataCenter/dataView?pageNo=2&dataId=140&searchKeyword=&categoryArr=%EC%9E%90%EC%82%B4%EC%98%88%EB%B0%A9","2015~2019","없음","","교사","누구나","","","","","","","","","","","","","",""
"","67","교사, 보호자","교육자료","중등(중,고)","중등(중,고)","리플릿-자살예방","학생이 보일 수 있는 정신건강 문제에 대한 안내하고 있습니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","없음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","전문가가 알려주는 학생자살예방 01차시(청소년 자살에 관한 현황)","학생자살에 대한 교사의 이해를 증진시키고, 
교사가 할 수 있는 자살예방 및 대처방법을 담고 있는 교육영상입니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","있음","68-1~68-15","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","전문가가 알려주는 학생자살예방 02차시(자살위험 요인 및 보호요인 그리고 경고신호)","학생자살에 대한 교사의 이해를 증진시키고, 
교사가 할 수 있는 자살예방 및 대처방법을 담고 있는 교육영상입니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","전문가가 알려주는 학생자살예방 03차시(자살예방과 관련하여 학교역할의 중요성)","학생자살에 대한 교사의 이해를 증진시키고, 
교사가 할 수 있는 자살예방 및 대처방법을 담고 있는 교육영상입니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","전문가가 알려주는 학생자살예방 04차시(우울장애와 자살)","학생자살에 대한 교사의 이해를 증진시키고, 
교사가 할 수 있는 자살예방 및 대처방법을 담고 있는 교육영상입니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","전문가가 알려주는 학생자살예방 05차시(불안장애와 자살)","학생자살에 대한 교사의 이해를 증진시키고, 
교사가 할 수 있는 자살예방 및 대처방법을 담고 있는 교육영상입니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","전문가가 알려주는 학생자살예방 06차시(학교폭력과 자살)","학생자살에 대한 교사의 이해를 증진시키고, 
교사가 할 수 있는 자살예방 및 대처방법을 담고 있는 교육영상입니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","전문가가 알려주는 학생자살예방 07차시(자해와 자살위험도 평가)","학생자살에 대한 교사의 이해를 증진시키고, 
교사가 할 수 있는 자살예방 및 대처방법을 담고 있는 교육영상입니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","전문가가 알려주는 학생자살예방 08차시(위기에 처한 학생 돕는 방법)","학생자살에 대한 교사의 이해를 증진시키고, 
교사가 할 수 있는 자살예방 및 대처방법을 담고 있는 교육영상입니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","전문가가 알려주는 학생자살예방 09차시(학부모에게 알리는 방법과 자해이해하기)","학생자살에 대한 교사의 이해를 증진시키고, 
교사가 할 수 있는 자살예방 및 대처방법을 담고 있는 교육영상입니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","전문가가 알려주는 학생자살예방 10차시(자해의 원인 및 전염성과 중독성의 이해)","학생자살에 대한 교사의 이해를 증진시키고, 
교사가 할 수 있는 자살예방 및 대처방법을 담고 있는 교육영상입니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","전문가가 알려주는 학생자살예방 11차시(자해행동의 평가 및 대처법)","학생자살에 대한 교사의 이해를 증진시키고, 
교사가 할 수 있는 자살예방 및 대처방법을 담고 있는 교육영상입니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","전문가가 알려주는 학생자살예방 12차시(정신건강 전문기관에 의뢰하는 방법)","학생자살에 대한 교사의 이해를 증진시키고, 
교사가 할 수 있는 자살예방 및 대처방법을 담고 있는 교육영상입니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","전문가가 알려주는 학생자살예방 13차시(자살사고 후 학교에서 할 일1)","학생자살에 대한 교사의 이해를 증진시키고, 
교사가 할 수 있는 자살예방 및 대처방법을 담고 있는 교육영상입니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","전문가가 알려주는 학생자살예방 14차시(자살사고 후 학교에서 할 일2)","학생자살에 대한 교사의 이해를 증진시키고, 
교사가 할 수 있는 자살예방 및 대처방법을 담고 있는 교육영상입니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","전문가가 알려주는 학생자살예방 15차시(언론기관 대응 요령 및 자살예방교육)","학생자살에 대한 교사의 이해를 증진시키고, 
교사가 할 수 있는 자살예방 및 대처방법을 담고 있는 교육영상입니다.","학생정신건강지원센터","학생마음건강중앙지원단","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","69","보호자","카드뉴스 및 뉴스레터","초등","초등","2020 초등학부모용 뉴스레터 8호_
자살자해로부터 내 아이 지키기","2020 자녀사랑하기 초등학부모용 뉴스레터 8호(9월)  
자살과 자해로부터 내 아이 지키는 방법을 안내합니다.","학생정신건강지원센터","학생마음건강중앙지원단","2020~2024","없음","","교사","누구나","","","","","","","","","","","","","",""
"","70","보호자","카드뉴스 및 뉴스레터","중등(중,고)","중등(중,고)","2020 초등학부모용 뉴스레터 8호_
자살자해로부터 내 아이 지키기","2020 자녀사랑하기 초등학부모용 뉴스레터 8호(9월) 
 자살과 자해로부터 내 아이 지키는 방법을 안내합니다.","학생정신건강지원센터","학생마음건강중앙지원단","2020~2024","없음","","교사","누구나","","","","","","","","","","","","","",""
"","71","교사","카드뉴스 및 뉴스레터","모든 학교","모든 학교","2020 교사용뉴스레터_
자살의 징후 발견과 학생들을 돕는 방법","2020 교사용 뉴스레터(9월)
: 자살의 징후 발견과 학생들을 돕는 방법을 안내합니다.","학생정신건강지원센터","학생마음건강중앙지원단","2020~2024","없음","","교사","누구나","","","","","","","","","","","","","",""
"","","교사","카드뉴스 및 뉴스레터","모든 학교","모든 학교","[2021년 특별제2호] 학부모용, 학생용, 교사용 뉴스레터
 (마음건강 지키기 : 자살자해예방편)","2021년 카드뉴스 특별2호 마음건강 지키기 : 자살자해예방하는 방법을 안내합니다.","학생정신건강지원센터","학생마음건강중앙지원단","2020~2024","있음","72-1, 72-2, 72-3","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","카드뉴스 및 뉴스레터","모든 학교","모든 학교","[2021년 특별제2호] 학부모용, 
교사용 카드뉴스 
(마음건강 지키기 : 자살자해예방편)","2021년 카드뉴스 특별2호 마음건강 지키기 : 자살자해예방하는 방법을 안내합니다.","학생정신건강지원센터","학생마음건강중앙지원단","2020~2024","있음","","교사","누구나","","","","","","","","","","","","","",""
"","","교사","카드뉴스 및 뉴스레터","모든 학교","모든 학교","[2021년 특별제2호] 학생용 카드뉴스
 (마음건강 지키기 : 자살자해예방편)","2021년 카드뉴스 특별2호 마음건강 지키기 : 자살자해예방하는 방법을 안내합니다.","학생정신건강지원센터","학생마음건강중앙지원단","2020~2024","있음","","교사","누구나","","","","","","","","","","","","","",""
"","","교사","동영상, 카드뉴스 및 뉴스레터","모든 학교","모든 학교","[2022년 1호] 교사용 뉴스레터
 (자살 징후가 보이는 학생을 돕는 방법)","2022년 뉴스레터 1호 '자살 징후가 보이는 학생을 돕는 방법'을 안내합니다.","학생정신건강지원센터","학생마음건강중앙지원단","2020~2024","없음","","교사","누구나","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","2020~2024","있음","","교사","누구나","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","2015~2019","있음","","교사","전문인력","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","","","","","","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","","","","","","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","","","","","","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","","","","","","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","","","","","","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","","","","","","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","","","","","","","","","","","","","","","","","","",""
"","","교사","동영상","모든 학교","모든 학교","","","","","","","","","","","","","","","","","","","","","","",""
